time,x,y,vx,vy,speed
8.816667,10.459946,5.884041,-0.013569,0.149385,0.150000
8.866667,10.459267,5.891510,-0.013569,0.149385,0.150000
8.916667,10.458589,5.898979,-0.013569,0.149385,0.150000
8.966667,10.457910,5.906448,-0.013569,0.149385,0.150000
9.016667,10.457232,5.913918,-0.013569,0.149385,0.150000
9.066667,10.456553,5.921387,-0.013569,0.149385,0.150000
9.116667,10.455875,5.928856,-0.013569,0.149385,0.150000
9.166667,10.455196,5.936325,-0.013569,0.149385,0.150000
9.216667,10.454518,5.943795,-0.013569,0.149385,0.150000
9.266667,10.453839,5.951264,-0.013569,0.149385,0.150000
9.316667,10.453161,5.958733,-0.013569,0.149385,0.150000
9.366667,10.452482,5.966202,-0.013569,0.149385,0.150000
9.416667,10.451804,5.973672,-0.013569,0.149385,0.150000
9.466667,10.451125,5.981141,-0.013569,0.149385,0.150000
9.516667,10.450447,5.988610,-0.013569,0.149385,0.150000
9.566667,10.449768,5.996079,-0.013569,0.149385,0.150000
9.616667,10.449090,6.003549,-0.013569,0.149385,0.150000
9.666667,10.448412,6.011018,-0.013569,0.149385,0.150000
9.716667,10.447733,6.018487,-0.013569,0.149385,0.150000
9.766667,10.447055,6.025956,-0.013569,0.149385,0.150000
9.816667,10.446376,6.033426,-0.013569,0.149385,0.150000
9.866667,10.445698,6.040895,-0.013569,0.149385,0.150000
9.916667,10.445019,6.048364,-0.013569,0.149385,0.150000
9.966667,10.444341,6.055833,-0.013569,0.149385,0.150000
10.016667,10.443662,6.063303,-0.013569,0.149385,0.150000
10.066667,10.442984,6.070772,-0.013569,0.149385,0.150000
10.116667,10.442305,6.078241,-0.013569,0.149385,0.150000
10.166667,10.441652,6.085434,-0.010554,0.116188,0.116667
10.216667,10.441350,6.088753,-0.001508,0.016598,0.016667
10.225000,10.441344,6.088823,0.000000,0.000000,0.000000
10.225000,10.278233,7.065507,0.000000,0.000000,0.000000
10.275000,10.278169,7.068006,-0.002544,0.099968,0.100000
10.325000,10.277994,7.074879,-0.003816,0.149951,0.150000
10.375000,10.277803,7.082376,-0.003816,0.149951,0.150000
10.425000,10.277613,7.089874,-0.003816,0.149951,0.150000
10.475000,10.277422,7.097371,-0.003816,0.149951,0.150000
10.525000,10.277231,7.104869,-0.003816,0.149951,0.150000
10.575000,10.277040,7.112366,-0.003816,0.149951,0.150000
10.625000,10.276850,7.119864,-0.003816,0.149951,0.150000
10.675000,10.276659,7.127362,-0.003816,0.149951,0.150000
10.725000,10.276468,7.134859,-0.003816,0.149951,0.150000
10.775000,10.276277,7.142357,-0.003816,0.149951,0.150000
10.825000,10.276086,7.149854,-0.003816,0.149951,0.150000
10.875000,10.275896,7.157352,-0.003816,0.149951,0.150000
10.925000,10.275705,7.164849,-0.003816,0.149951,0.150000
10.975000,10.275514,7.172347,-0.003816,0.149951,0.150000
11.025000,10.275323,7.179845,-0.003816,0.149951,0.150000
11.075000,10.275132,7.187342,-0.003816,0.149951,0.150000
11.125000,10.274942,7.194840,-0.003816,0.149951,0.150000
11.175000,10.274751,7.202337,-0.003816,0.149951,0.150000
11.225000,10.274560,7.209835,-0.003816,0.149951,0.150000
11.275000,10.274369,7.217332,-0.003816,0.149951,0.150000
11.325000,10.274179,7.224830,-0.003816,0.149951,0.150000
11.375000,10.273988,7.232328,-0.003816,0.149951,0.150000
11.425000,10.273797,7.239825,-0.003816,0.149951,0.150000
11.475000,10.273606,7.247323,-0.003816,0.149951,0.150000
11.525000,10.273415,7.254820,-0.003816,0.149951,0.150000
11.575000,10.273225,7.262318,-0.003816,0.149951,0.150000
11.625000,10.273034,7.269815,-0.003816,0.149951,0.150000
11.675000,10.272843,7.277313,-0.003816,0.149951,0.150000
11.725000,10.272652,7.284811,-0.003816,0.149951,0.150000
11.775000,10.272462,7.292308,-0.003816,0.149951,0.150000
11.825000,10.272271,7.299806,-0.003816,0.149951,0.150000
11.875000,10.272080,7.307303,-0.003816,0.149951,0.150000
11.925000,10.271889,7.314801,-0.003816,0.149951,0.150000
11.975000,10.271698,7.322298,-0.003816,0.149951,0.150000
12.025000,10.271508,7.329796,-0.003816,0.149951,0.150000
12.075000,10.271317,7.337294,-0.003816,0.149951,0.150000
12.125000,10.271126,7.344791,-0.003816,0.149951,0.150000
12.175000,10.270935,7.352289,-0.003816,0.149951,0.150000
12.225000,10.270745,7.359786,-0.003816,0.149951,0.150000
12.275000,10.270554,7.367284,-0.003816,0.149951,0.150000
12.325000,10.270363,7.374781,-0.003816,0.149951,0.150000
12.375000,10.270172,7.382279,-0.003816,0.149951,0.150000
12.425000,10.269981,7.389777,-0.003816,0.149951,0.150000
12.475000,10.269791,7.397274,-0.003816,0.149951,0.150000
12.525000,10.269600,7.404772,-0.003816,0.149951,0.150000
12.575000,10.269409,7.412269,-0.003816,0.149951,0.150000
12.625000,10.269218,7.419767,-0.003816,0.149951,0.150000
12.675000,10.269028,7.427265,-0.003816,0.149951,0.150000
12.725000,10.268837,7.434762,-0.003816,0.149951,0.150000
